"site","date","flux"
"X1",2011-02-14,14.944099972
"X1",2011-02-15,110.537442943
"X1",2011-02-16,49.691424446
"X1",2011-03-07,40.76774921
"X1",2011-03-10,207.139283443
"X1",2011-03-15,84.713793704
"X1",2011-03-18,14.699615718
"X1",2011-04-20,48.430449891
"X1",2011-04-21,16.765645936
"X1",2011-04-25,102.394872748
"X1",2011-04-28,52.490879756
"X1",2011-05-14,34.838516806
"X1",2011-05-15,53.712956908
"X1",2011-05-25,748.400005717
"X1",2011-05-28,160.975014212
"X1",2011-05-30,23.766656652
"X1",2011-05-31,522.663584171
"X1",2011-06-01,275.610512506
"X1",2011-06-28,265.621822037
"X1",2011-07-30,14.733677031
"X1",2011-09-30,21.017329912
"X1",2011-10-03,63.447796325
"X1",2011-11-03,185.833333344
"X1",2011-11-18,298.855686981
"X1",2011-11-30,28.140401921
"X1",2011-12-01,18.177446023
"X1",2012-01-15,70.546184588
"X1",2012-01-19,71.866703519
"X1",2012-01-20,67.143308878
"X1",2012-02-29,49.541265783
"X1",2012-03-01,34.600585033
"X1",2012-03-06,63.169875425
"X1",2012-03-12,121.006816654
"X1",2012-03-13,46.768986504
"X1",2012-03-31,168.253106598
"X1",2012-04-12,18.378678878
"X1",2012-04-23,45.86134729
"X1",2012-04-26,187.959450623
"X1",2012-05-14,76.055301997
"X1",2012-05-17,18.517812662
"X1",2012-06-04,425.207006349
"X1",2012-06-23,45.591846802
"X1",2012-06-24,26.826027722
"X1",2012-06-25,191.295618299
"X1",2012-07-12,22.852445543
"X1",2012-09-08,10.094533493
"X1",2012-10-22,44.817098234
"X1",2012-10-23,15.191122075
"X1",2012-11-08,479.984695938
"X1",2012-11-17,18.89704876
"X1",2012-11-18,19.53690368
"X1",2012-11-28,67.035467548
"X1",2012-11-29,373.653947158
"X1",2012-12-01,10.706905727
"X1",2012-12-02,14.993933721
"X1",2012-12-20,10.984176196
"X1",2012-12-21,127.629728853
"X1",2012-12-23,29.945210442
"X1",2013-03-05,30.457094388
"X1",2013-03-06,13.522267395
"X1",2013-04-07,15.475869504
"X1",2013-04-14,80.400826817
"X1",2013-04-15,37.0683922
"X1",2013-06-10,87.68906631
"X1",2013-06-18,19.088489688
"X1",2013-06-19,19.509869152
"X1",2013-06-29,24.987802175
"X1",2013-07-02,17.023730321
"X1",2013-07-26,26.907912306
"X1",2013-07-28,10.220315385
"X1",2013-08-18,112.49048769
"X1",2013-08-20,114.70209689
"X1",2013-09-20,13.738784616
"X1",2013-09-21,123.112913849
"X1",2013-10-27,225.994285154
"X1",2013-10-28,18.824214208
"X1",2014-02-15,16.708489387
"X1",2014-03-10,25.12921348
"X1",2014-03-29,77.943313947
"X1",2014-04-22,23.713662787
"X1",2014-05-18,13.384205425
"X1",2014-06-10,36.814437979
"X1",2014-09-25,85.393086467
"X1",2014-10-15,19.920151717
"X1",2014-10-25,244.097100221
"X1",2014-10-31,80.70233854
"X1",2014-11-22,137.788962873
"X1",2014-11-28,34.94114914
"X1",2014-11-29,16.815858758
"X1",2014-11-30,21.180630844
"X1",2014-12-03,10.806724982
"X1",2014-12-10,148.504941048
"X1",2014-12-11,352.817397043
"X1",2014-12-24,17.015340203
"X1",2015-02-05,165.132762662
"X1",2015-02-06,325.025898282
"X1",2015-02-08,21.212038599
"X1",2015-04-05,186.981921183
"X1",2015-04-07,51.477963818
"X1",2015-04-13,67.283287055
"X1",2015-04-14,170.056945735
"X1",2015-05-12,89.67633151
"X1",2015-05-13,28.147536111
"X1",2015-05-31,19.759813724
"X1",2015-07-30,12.679029411
"X1",2015-08-08,12.39137255
"X1",2015-09-15,81.330061271
"X1",2015-09-16,37.096908943
"X1",2015-10-01,10.372110837
"X1",2015-11-15,87.034950519
"X1",2015-11-24,100.214939281
"X1",2015-12-03,78.452936046
"X1",2015-12-06,37.698164075
"X1",2015-12-10,195.570655736
"X1",2015-12-13,87.714196721
"X10",2011-03-07,138.882853925
"X10",2011-03-10,33.867708608
